DepartmentId,Date,Volume
17,2017-10-02,46.88703609
47,2017-10-09,8.889072922
15,2017-04-17,19.49760213
38,2017-07-28,96.29153269
17,2017-06-25,98.61542367
45,2017-10-28,5.326277472
24,2017-03-14,97.27447563
12,2017-10-21,19.71019205
16,2017-08-02,81.04273187
32,2017-10-01,72.87087369
36,2017-12-27,33.26059719
42,2017-04-24,19.91501527
11,2017-07-14,60.70597519
26,2017-05-23,80.92821757
30,2017-11-27,6.961420749
41,2017-10-09,94.6874844
9,2017-04-22,74.92360975
6,2017-08-24,71.08674657
7,2017-10-04,28.88080861
7,2017-08-23,76.57830302
32,2017-04-16,43.4562487
28,2017-10-05,51.69184129
48,2017-10-13,48.60360503
5,2017-09-26,91.74254602
34,2017-11-08,32.93619143
29,2017-07-12,21.27872337
42,2017-10-17,72.22815076
48,2017-01-13,36.30726677
48,2017-06-17,74.79008969
3,2017-10-27,89.94939423
8,2017-09-04,50.73868071
23,2017-02-24,67.31075201
32,2017-04-17,26.30012347
31,2017-02-28,10.94384364
10,2017-01-06,48.80923724
36,2017-07-28,31.93618596
10,2017-03-28,91.59675449
27,2017-02-19,39.92254631
12,2017-11-21,14.4188731
23,2017-09-28,26.67226098
21,2017-08-16,4.689600667
48,2017-09-14,61.06054996
3,2017-02-17,3.995463592
14,2017-10-17,83.36458129
28,2017-07-24,31.9026704
3,2017-10-14,55.85765845
19,2017-02-10,91.1299314
21,2017-10-28,74.74199256
40,2017-12-08,36.96268933
30,2017-09-02,57.3003618
19,2017-01-15,51.84609022
15,2017-04-04,52.31020555
34,2017-01-25,11.24675463
29,2017-03-31,53.6137628
12,2017-12-12,7.261567413
36,2017-02-26,31.45048413
32,2017-09-27,5.532703243
18,2017-04-21,96.72133457
16,2017-02-26,12.57106467
17,2017-12-24,25.56971009
5,2017-12-04,83.67758166
42,2017-08-04,49.1435548
44,2017-09-15,85.67777574
28,2017-08-12,42.57392839
50,2017-10-24,68.35669424
15,2017-09-22,72.30480766
17,2017-05-26,88.81829262
17,2017-04-12,8.988234361
46,2017-10-14,64.32769639
15,2017-06-27,19.08117176
30,2017-05-20,12.17086179
1,2017-04-26,79.72167783
42,2017-12-19,25.64123616
49,2017-06-28,43.91002263
6,2017-12-07,59.70640937
38,2017-08-12,24.77661455
27,2017-07-14,79.80168232
24,2017-10-14,84.89566179
35,2017-12-13,4.436232203
36,2017-12-16,58.12771078
23,2017-06-21,34.0885241
22,2017-06-05,4.08345796
18,2017-11-21,62.7298613
24,2017-06-03,88.546632
3,2017-08-27,67.08104212
6,2017-08-25,94.4382406
18,2017-05-30,35.52104519
31,2017-06-09,27.32416916
6,2017-02-19,51.88585833
9,2017-11-22,75.05104388
43,2017-08-25,77.98941454
17,2017-02-20,83.6423818
47,2017-04-26,66.64907625
19,2017-07-12,99.71147266
10,2017-04-01,88.69986805
13,2017-02-14,14.77510546
32,2017-03-25,22.64166326
37,2017-11-02,98.22135194
5,2017-06-10,54.20124852
42,2017-10-27,75.34592609
29,2017-07-05,80.53883574
47,2017-06-16,54.68850914
42,2017-03-13,45.7304744
3,2017-04-06,27.54856594
5,2017-09-28,31.47117695
26,2017-04-08,2.527901002
30,2017-04-25,40.93772123
18,2017-02-01,32.53532655
9,2017-11-03,91.00730873
31,2017-06-03,82.01049294
42,2017-06-21,35.44287402
8,2017-06-05,42.10511266
24,2017-09-09,91.4349117
50,2017-01-10,62.93869177
37,2017-10-03,16.552954
45,2017-04-19,49.37321096
7,2017-11-13,60.53895628
1,2017-10-28,82.39026422
37,2017-11-25,94.61473392
49,2017-12-31,37.28094645
14,2017-06-18,43.53303095
26,2017-01-04,85.46112104
20,2017-06-25,26.24636823
23,2017-03-07,84.60395724
28,2017-01-01,58.8816923
1,2017-04-19,85.55048777
4,2017-08-08,18.08629171
26,2017-01-11,50.54371764
15,2017-05-29,78.4587497
12,2017-03-07,79.97035571
7,2017-03-22,69.717263
7,2017-05-04,61.0376771
39,2017-05-22,87.81850134
29,2017-04-30,66.52433328
32,2017-02-05,0.06790273356
45,2017-01-24,62.59917558
5,2017-02-20,13.31390738
47,2017-01-08,7.18934098
30,2017-06-22,2.863608335
41,2017-04-29,92.79906599
50,2017-04-30,99.37774208
46,2017-07-08,76.14683086
10,2017-01-22,93.59333627
47,2017-09-20,40.4267712
42,2017-04-17,81.48980769
34,2017-04-29,11.14853681
8,2017-07-29,42.97812761
9,2017-03-30,32.91927956
27,2017-02-09,28.18530423
39,2017-05-29,59.56501253
31,2017-01-28,40.071951
35,2017-01-31,93.8223393
24,2017-09-10,18.9164827
42,2017-05-29,73.4535072
5,2017-08-04,91.89483697
46,2017-01-11,58.84895633
49,2017-04-28,83.66175692
41,2017-03-14,61.59500015
10,2017-02-08,45.89287033
3,2017-04-10,25.52598873
39,2017-03-02,54.88347324
28,2017-02-27,50.68851525
6,2017-10-20,16.53914588
45,2017-12-03,38.47050886
27,2017-01-14,72.76755705
10,2017-10-16,42.75411253
15,2017-07-10,8.034278001
47,2017-09-10,80.01331608
5,2017-06-20,40.63528527
48,2017-07-19,81.28420598
25,2017-11-09,51.3346383
23,2017-09-22,44.18779171
9,2017-05-24,48.99951156
31,2017-12-15,54.79618103
38,2017-12-01,15.63098223
47,2017-10-29,21.02807777
21,2017-01-14,73.94461507
34,2017-06-15,73.17754718
26,2017-10-27,11.91968551
45,2017-11-17,7.671309798
32,2017-07-12,8.34156899
37,2017-08-19,49.57812955
49,2017-01-28,79.45334125
2,2017-08-15,92.93445318
48,2017-07-21,2.866491547
7,2017-12-25,8.592115342
48,2017-09-25,34.62697495
6,2017-07-01,32.83705052
46,2017-10-30,77.87308118
29,2017-07-30,20.08600588
8,2017-10-06,66.25070057
44,2017-10-14,45.96698555
47,2017-07-19,16.87643982
10,2017-08-02,27.26687686
31,2017-05-20,81.17913082
46,2017-10-24,9.637099747
16,2017-12-29,67.7376664
12,2017-11-23,97.44854471
15,2017-04-08,39.91244771
1,2017-07-24,30.45638728
47,2017-06-28,58.59582859
41,2017-09-07,74.46158509
14,2017-05-15,73.05349519
13,2017-09-24,96.24013168
2,2017-05-09,82.17578585
12,2017-03-15,52.76641157
7,2017-10-27,36.39983386
38,2017-10-14,90.10927359
32,2017-02-14,14.30746579
39,2017-08-18,25.06689062
27,2017-10-06,44.96924593
34,2017-06-02,62.17993785
18,2017-06-07,10.32417728
12,2017-06-02,77.58524731
40,2017-05-03,24.40165107
24,2017-04-27,9.419986471
30,2017-12-23,66.46462973
35,2017-02-20,20.14734556
27,2017-10-31,31.94995244
25,2017-02-26,10.05007422
43,2017-09-30,42.48525556
39,2017-06-14,41.84062886
2,2017-02-11,28.66692865
49,2017-02-27,95.29262424
46,2017-04-25,16.39662341
1,2017-08-03,77.24536874
10,2017-09-07,29.41467458
34,2017-10-29,18.32280115
25,2017-04-04,82.56958893
29,2017-04-04,53.10308609
10,2017-06-02,17.96776195
42,2017-10-04,97.95140376
33,2017-12-23,10.41398754
26,2017-10-20,60.77433106
46,2017-11-04,90.7507751
17,2017-10-26,72.87039313
28,2017-01-11,52.41463742
19,2017-01-20,65.95128522
29,2017-02-04,84.6453618
49,2017-06-18,1.217468193
11,2017-10-28,27.51649371
25,2017-03-11,23.82888512
28,2017-12-31,51.82154286
17,2017-03-17,79.76699075
6,2017-12-18,8.682790014
12,2017-09-11,15.30152976
23,2017-08-19,67.69251784
44,2017-01-05,37.23028023
9,2017-10-15,11.907051
46,2017-05-25,57.74063665
8,2017-07-19,96.86173666
26,2017-06-15,76.949065
18,2017-09-16,18.04191004
4,2017-06-01,72.52165005
5,2017-05-03,96.32554061
10,2017-07-14,5.691726183
29,2017-09-21,58.51464656
44,2017-10-19,10.70732578
45,2017-08-16,5.21422083
12,2017-01-17,87.31267325
42,2017-01-31,61.33145744
38,2017-07-08,48.15747919
30,2017-07-09,55.9988436
37,2017-07-04,2.71104039
9,2017-07-18,84.72943645
23,2017-07-17,61.82359552
7,2017-09-26,43.36076579
29,2017-10-07,80.8256045
23,2017-08-11,62.41733264
33,2017-09-06,90.0999843
18,2017-11-14,3.815256543
40,2017-07-29,89.32869097
16,2017-05-15,46.55312885
30,2017-11-29,61.84152084
23,2017-03-24,91.70018116
24,2017-07-22,38.23252535
2,2017-12-31,62.43857237
6,2017-12-24,51.02118748
19,2017-05-24,85.2852538
43,2017-03-30,54.79734308
39,2017-08-28,82.36776924
32,2017-04-03,76.98898221
9,2017-02-15,20.52687606
0,2017-02-13,33.93129671
29,2017-09-27,85.14901326
45,2017-10-08,23.90703706
40,2017-08-20,29.38813352
28,2017-10-11,54.6980295
